"iter" "posterior" "prior" "likelihood" "acceptance" "beta" "gamma"
"56" 56 -954.777229042086 -4.2942571151479 -950.482971926938 0.517857142857143 0.00218406043389677 0.171500793304466
"57" 57 -924.29567212058 -4.27735814817632 -920.018313972404 0.526315789473684 0.00220331915387677 0.175111903971973
"58" 58 -857.055510419902 -4.24671017847978 -852.808800241423 0.53448275862069 0.00216691841462749 0.183196360543701
"59" 59 -857.055510419902 -4.24671017847978 -852.808800241423 0.525423728813559 0.00216691841462749 0.183196360543701
"60" 60 -850.735557888614 -4.24198078829877 -846.493577100315 0.533333333333333 0.00229279389099264 0.184716649112343
"61" 61 -808.646836116812 -4.22789279678715 -804.418943320025 0.540983606557377 0.00227796894120125 0.190002766685487
"62" 62 -808.646836116812 -4.22789279678715 -804.418943320025 0.532258064516129 0.00227796894120125 0.190002766685487
"63" 63 -808.646836116812 -4.22789279678715 -804.418943320025 0.523809523809524 0.00227796894120125 0.190002766685487
"64" 64 -808.646836116812 -4.22789279678715 -804.418943320025 0.515625 0.00227796894120125 0.190002766685487
"65" 65 -808.646836116812 -4.22789279678715 -804.418943320025 0.507692307692308 0.00227796894120125 0.190002766685487
"66" 66 -808.646836116812 -4.22789279678715 -804.418943320025 0.5 0.00227796894120125 0.190002766685487
"67" 67 -808.102200257861 -4.22791732640004 -803.87428293146 0.507462686567164 0.00207734725224617 0.189992245683726
"68" 68 -770.395679700078 -4.21503428102381 -766.180645419054 0.514705882352941 0.00199764153928805 0.196646545115782
"69" 69 -770.395679700078 -4.21503428102381 -766.180645419054 0.507246376811594 0.00199764153928805 0.196646545115782
"70" 70 -770.395679700078 -4.21503428102381 -766.180645419054 0.5 0.00199764153928805 0.196646545115782
"71" 71 -770.395679700078 -4.21503428102381 -766.180645419054 0.492957746478873 0.00199764153928805 0.196646545115782
"72" 72 -770.395679700078 -4.21503428102381 -766.180645419054 0.486111111111111 0.00199764153928805 0.196646545115782
"73" 73 -770.395679700078 -4.21503428102381 -766.180645419054 0.479452054794521 0.00199764153928805 0.196646545115782
"74" 74 -770.395679700078 -4.21503428102381 -766.180645419054 0.472972972972973 0.00199764153928805 0.196646545115782
"75" 75 -770.395679700078 -4.21503428102381 -766.180645419054 0.466666666666667 0.00199764153928805 0.196646545115782
"76" 76 -770.395679700078 -4.21503428102381 -766.180645419054 0.460526315789474 0.00199764153928805 0.196646545115782
"77" 77 -744.867716308097 -4.21201565950923 -740.655700648588 0.467532467532468 0.00209218683354295 0.198746782017122
"78" 78 -744.867716308097 -4.21201565950923 -740.655700648588 0.461538461538462 0.00209218683354295 0.198746782017122
"79" 79 -744.867716308097 -4.21201565950923 -740.655700648588 0.455696202531646 0.00209218683354295 0.198746782017122
"80" 80 -727.917990904698 -4.20954948392538 -723.708441420772 0.4625 0.00216037791318065 0.200777801000908
"81" 81 -727.917990904698 -4.20954948392538 -723.708441420772 0.45679012345679 0.00216037791318065 0.200777801000908
"82" 82 -715.443079233223 -4.20768796330388 -711.235391269919 0.463414634146341 0.0021625281605684 0.202618546271272
"83" 83 -715.443079233223 -4.20768796330388 -711.235391269919 0.457831325301205 0.0021625281605684 0.202618546271272
"84" 84 -715.443079233223 -4.20768796330388 -711.235391269919 0.452380952380952 0.0021625281605684 0.202618546271272
"85" 85 -705.844550526472 -4.20628663061151 -701.63826389586 0.458823529411765 0.00226143782294557 0.204304107005561
"86" 86 -695.86845337563 -4.20439761739344 -691.664055758236 0.465116279069767 0.00239280542980729 0.207505766901706
"87" 87 -661.175367571016 -4.2036981901718 -656.971669380844 0.471264367816092 0.00248544800977046 0.214957174973872
"88" 88 -661.175367571016 -4.2036981901718 -656.971669380844 0.465909090909091 0.00248544800977046 0.214957174973872
"89" 89 -655.686939839919 -4.20360123001538 -651.483338609904 0.471910112359551 0.00242765178967918 0.214510094354708
"90" 90 -655.686939839919 -4.20360123001538 -651.483338609904 0.466666666666667 0.00242765178967918 0.214510094354708
"91" 91 -645.671029835475 -4.20503886243005 -641.465990973045 0.472527472527473 0.002520769382261 0.218456293318653
"92" 92 -645.671029835475 -4.20503886243005 -641.465990973045 0.467391304347826 0.002520769382261 0.218456293318653
"93" 93 -645.671029835475 -4.20503886243005 -641.465990973045 0.462365591397849 0.002520769382261 0.218456293318653
"94" 94 -645.671029835475 -4.20503886243005 -641.465990973045 0.457446808510638 0.002520769382261 0.218456293318653
"95" 95 -630.562974058281 -4.20739170721964 -626.355582351062 0.463157894736842 0.00255272905535828 0.22197435832044
"96" 96 -630.562974058281 -4.20739170721964 -626.355582351062 0.458333333333333 0.00255272905535828 0.22197435832044
"97" 97 -630.562974058281 -4.20739170721964 -626.355582351062 0.45360824742268 0.00255272905535828 0.22197435832044
"98" 98 -630.562974058281 -4.20739170721964 -626.355582351062 0.448979591836735 0.00255272905535828 0.22197435832044
"99" 99 -612.008079356831 -4.20906816122536 -607.799011195605 0.454545454545455 0.002507087109049 0.223878134369218
"100" 100 -612.008079356831 -4.20906816122536 -607.799011195605 0.45 0.002507087109049 0.223878134369218
"101" 101 -573.308059495808 -4.2156780795448 -569.092381416263 0.455445544554455 0.00245923540203833 0.229564129816491
"102" 102 -555.699138701267 -4.22110948831875 -551.478029212948 0.46078431372549 0.00247033063938297 0.233204904738507
"103" 103 -555.699138701267 -4.22110948831875 -551.478029212948 0.456310679611651 0.00247033063938297 0.233204904738507
"104" 104 -522.452780777772 -4.23294313338816 -518.219837644384 0.461538461538462 0.00246675425914756 0.239688953110342
"105" 105 -497.964750967294 -4.23973495755221 -493.725016009742 0.466666666666667 0.00239992214154238 0.242884434045079
"106" 106 -497.964750967294 -4.23973495755221 -493.725016009742 0.462264150943396 0.00239992214154238 0.242884434045079
"107" 107 -497.964750967294 -4.23973495755221 -493.725016009742 0.457943925233645 0.00239992214154238 0.242884434045079
"108" 108 -471.025449556254 -4.25292113703507 -466.772528419219 0.462962962962963 0.0023898146142855 0.248426644667912
"109" 109 -471.025449556254 -4.25292113703507 -466.772528419219 0.458715596330275 0.0023898146142855 0.248426644667912
"110" 110 -399.991887602974 -4.29473042382283 -395.697157179151 0.463636363636364 0.00219613711818057 0.262822010057851
"111" 111 -399.991887602974 -4.29473042382283 -395.697157179151 0.459459459459459 0.00219613711818057 0.262822010057851
"112" 112 -378.670148358718 -4.31332223949927 -374.356826119219 0.464285714285714 0.00225459003356276 0.268330190407279
"113" 113 -378.670148358718 -4.31332223949927 -374.356826119219 0.460176991150442 0.00225459003356276 0.268330190407279
"114" 114 -378.670148358718 -4.31332223949927 -374.356826119219 0.456140350877193 0.00225459003356276 0.268330190407279
"115" 115 -353.15318326411 -4.34267377772486 -348.810509486385 0.460869565217391 0.00232425327014819 0.276349291945483
"116" 116 -333.333806551755 -4.36658151714119 -328.967225034614 0.46551724137931 0.00233393672041243 0.28242608054
"117" 117 -333.333806551755 -4.36658151714119 -328.967225034614 0.461538461538462 0.00233393672041243 0.28242608054
"118" 118 -318.164575288967 -4.39388568262888 -313.770689606338 0.466101694915254 0.0023880080483872 0.288989035654579
"119" 119 -312.946236213069 -4.41891473333065 -308.527321479738 0.470588235294118 0.00246696156309298 0.294723429401715
"120" 120 -312.946236213069 -4.41891473333065 -308.527321479738 0.466666666666667 0.00246696156309298 0.294723429401715
"121" 121 -312.946236213069 -4.41891473333065 -308.527321479738 0.462809917355372 0.00246696156309298 0.294723429401715
"122" 122 -281.497910916301 -4.44981779182245 -277.048093124479 0.467213114754098 0.00238403014953645 0.30150400576875
"123" 123 -281.550078540891 -4.4394709012398 -277.110607639651 0.471544715447154 0.00232645121052702 0.29926674384551
"124" 124 -281.550078540891 -4.4394709012398 -277.110607639651 0.467741935483871 0.00232645121052702 0.29926674384551
"125" 125 -281.550078540891 -4.4394709012398 -277.110607639651 0.464 0.00232645121052702 0.29926674384551
"126" 126 -241.939139603433 -4.51244145360924 -237.426698149824 0.468253968253968 0.00232289089796127 0.314461453359211
"127" 127 -213.129319918361 -4.57191775126903 -208.557402167092 0.47244094488189 0.00228356717415686 0.326040907348591
"128" 128 -213.129319918361 -4.57191775126903 -208.557402167092 0.46875 0.00228356717415686 0.326040907348591
"129" 129 -213.129319918361 -4.57191775126903 -208.557402167092 0.465116279069767 0.00228356717415686 0.326040907348591
"130" 130 -213.129319918361 -4.57191775126903 -208.557402167092 0.461538461538462 0.00228356717415686 0.326040907348591
"131" 131 -213.129319918361 -4.57191775126903 -208.557402167092 0.458015267175573 0.00228356717415686 0.326040907348591
"132" 132 -213.129319918361 -4.57191775126903 -208.557402167092 0.454545454545455 0.00228356717415686 0.326040907348591
"133" 133 -180.691851846989 -4.65918206789847 -176.032669779091 0.458646616541353 0.00225210413905974 0.342115005436578
"134" 134 -180.691851846989 -4.65918206789847 -176.032669779091 0.455223880597015 0.00225210413905974 0.342115005436578
"135" 135 -173.751383511917 -4.7084537441576 -169.042929767759 0.459259259259259 0.00235619808211711 0.350824997326695
"136" 136 -145.574382872754 -4.81604229140644 -140.758340581348 0.463235294117647 0.00233875012786947 0.369159494813817
"137" 137 -125.886943524818 -4.93011939470141 -120.956824130117 0.467153284671533 0.00234827970956216 0.387826584939948
"138" 138 -116.545849902564 -5.03268207547783 -111.513167827086 0.471014492753623 0.00237941350023162 0.404111443857445
"139" 139 -116.545849902564 -5.03268207547783 -111.513167827086 0.467625899280576 0.00237941350023162 0.404111443857445
"140" 140 -109.102593110295 -5.07391322757429 -104.028679882721 0.471428571428571 0.00236100081769082 0.410552581560463
"141" 141 -109.102593110295 -5.07391322757429 -104.028679882721 0.468085106382979 0.00236100081769082 0.410552581560463
"142" 142 -109.102593110295 -5.07391322757429 -104.028679882721 0.464788732394366 0.00236100081769082 0.410552581560463
"143" 143 -96.8936067172575 -5.1801588353998 -91.7134478818577 0.468531468531469 0.0023407885446181 0.426923648315771
"144" 144 -96.8936067172575 -5.1801588353998 -91.7134478818577 0.465277777777778 0.0023407885446181 0.426923648315771
"145" 145 -81.0775301942424 -5.37313158037825 -75.7043986138641 0.468965517241379 0.002238382298451 0.456016122440602
"146" 146 -81.0775301942424 -5.37313158037825 -75.7043986138641 0.465753424657534 0.002238382298451 0.456016122440602
"147" 147 -81.0775301942424 -5.37313158037825 -75.7043986138641 0.462585034013605 0.002238382298451 0.456016122440602
"148" 148 -82.6447422391392 -5.55630795006318 -77.0884342890761 0.466216216216216 0.00219845098825639 0.483103376077566
"149" 149 -81.3672582789403 -5.55839528093067 -75.8088629980096 0.469798657718121 0.00221238648451894 0.483409867823754
"150" 150 -80.5336241155552 -5.39646291863169 -75.1371611969235 0.473333333333333 0.00226122706809266 0.459490098829563
"151" 151 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.47682119205298 0.00222810632075922 0.475137543795432
"152" 152 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.473684210526316 0.00222810632075922 0.475137543795432
"153" 153 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.470588235294118 0.00222810632075922 0.475137543795432
"154" 154 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.467532467532468 0.00222810632075922 0.475137543795432
"155" 155 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.464516129032258 0.00222810632075922 0.475137543795432
"156" 156 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.461538461538462 0.00222810632075922 0.475137543795432
"157" 157 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.45859872611465 0.00222810632075922 0.475137543795432
"158" 158 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.455696202531646 0.00222810632075922 0.475137543795432
"159" 159 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.452830188679245 0.00222810632075922 0.475137543795432
"160" 160 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.45 0.00222810632075922 0.475137543795432
"161" 161 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.447204968944099 0.00222810632075922 0.475137543795432
"162" 162 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.444444444444444 0.00222810632075922 0.475137543795432
"163" 163 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.441717791411043 0.00222810632075922 0.475137543795432
"164" 164 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.439024390243902 0.00222810632075922 0.475137543795432
"165" 165 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.436363636363636 0.00222810632075922 0.475137543795432
"166" 166 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.433734939759036 0.00222810632075922 0.475137543795432
"167" 167 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.431137724550898 0.00222810632075922 0.475137543795432
"168" 168 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.428571428571429 0.00222810632075922 0.475137543795432
"169" 169 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.42603550295858 0.00222810632075922 0.475137543795432
"170" 170 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.423529411764706 0.00222810632075922 0.475137543795432
"171" 171 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.421052631578947 0.00222810632075922 0.475137543795432
"172" 172 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.418604651162791 0.00222810632075922 0.475137543795432
"173" 173 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.416184971098266 0.00222810632075922 0.475137543795432
"174" 174 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.413793103448276 0.00222810632075922 0.475137543795432
"175" 175 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.411428571428571 0.00222810632075922 0.475137543795432
"176" 176 -79.9331717178342 -5.50216182525653 -74.4310098925776 0.409090909090909 0.00222810632075922 0.475137543795432
"177" 177 -80.0906760311406 -5.43065625843665 -74.660019772704 0.412429378531073 0.00223417135462384 0.464567558920509
"178" 178 -80.0906760311406 -5.43065625843665 -74.660019772704 0.410112359550562 0.00223417135462384 0.464567558920509
"179" 179 -79.7275447245889 -5.50690569522918 -74.2206390293597 0.41340782122905 0.00227649819053065 0.47583667990164
"180" 180 -79.7275447245889 -5.50690569522918 -74.2206390293597 0.411111111111111 0.00227649819053065 0.47583667990164
"181" 181 -79.7275447245889 -5.50690569522918 -74.2206390293597 0.408839779005525 0.00227649819053065 0.47583667990164
"182" 182 -81.511622653413 -5.52601679966675 -75.9856058537462 0.412087912087912 0.00230665489722758 0.478650758628973
"183" 183 -81.511622653413 -5.52601679966675 -75.9856058537462 0.409836065573771 0.00230665489722758 0.478650758628973
"184" 184 -81.511622653413 -5.52601679966675 -75.9856058537462 0.407608695652174 0.00230665489722758 0.478650758628973
"185" 185 -81.511622653413 -5.52601679966675 -75.9856058537462 0.405405405405405 0.00230665489722758 0.478650758628973
"186" 186 -80.011476290197 -5.48982465076982 -74.5216516394271 0.408602150537634 0.00228232557545041 0.473318163114616
"187" 187 -80.011476290197 -5.48982465076982 -74.5216516394271 0.406417112299465 0.00228232557545041 0.473318163114616
"188" 188 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.409574468085106 0.00224549585594857 0.465364816745184
"189" 189 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.407407407407407 0.00224549585594857 0.465364816745184
"190" 190 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.405263157894737 0.00224549585594857 0.465364816745184
"191" 191 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.403141361256544 0.00224549585594857 0.465364816745184
"192" 192 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.401041666666667 0.00224549585594857 0.465364816745184
"193" 193 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.398963730569948 0.00224549585594857 0.465364816745184
"194" 194 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.396907216494845 0.00224549585594857 0.465364816745184
"195" 195 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.394871794871795 0.00224549585594857 0.465364816745184
"196" 196 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.392857142857143 0.00224549585594857 0.465364816745184
"197" 197 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.390862944162437 0.00224549585594857 0.465364816745184
"198" 198 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.388888888888889 0.00224549585594857 0.465364816745184
"199" 199 -79.7997569309399 -5.4360348598451 -74.3637220710948 0.386934673366834 0.00224549585594857 0.465364816745184
"200" 200 -82.4515801442651 -5.34639071879033 -77.1051894254748 0.39 0.00227839389188496 0.452024412882112
"201" 201 -82.4515801442651 -5.34639071879033 -77.1051894254748 0.388059701492537 0.00227839389188496 0.452024412882112
"202" 202 -82.4515801442651 -5.34639071879033 -77.1051894254748 0.386138613861386 0.00227839389188496 0.452024412882112
"203" 203 -81.4127793286488 -5.49169725885164 -75.9210820697972 0.389162561576355 0.00220536253265835 0.473594429263095
"204" 204 -79.3673455400227 -5.52354700961688 -73.8437985304058 0.392156862745098 0.00225565974645421 0.478287303455859
"205" 205 -79.3673455400227 -5.52354700961688 -73.8437985304058 0.390243902439024 0.00225565974645421 0.478287303455859
"206" 206 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.393203883495146 0.00224892899366544 0.468459314771658
"207" 207 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.391304347826087 0.00224892899366544 0.468459314771658
"208" 208 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.389423076923077 0.00224892899366544 0.468459314771658
"209" 209 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.38755980861244 0.00224892899366544 0.468459314771658
"210" 210 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.385714285714286 0.00224892899366544 0.468459314771658
"211" 211 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.383886255924171 0.00224892899366544 0.468459314771658
"212" 212 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.382075471698113 0.00224892899366544 0.468459314771658
"213" 213 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.380281690140845 0.00224892899366544 0.468459314771658
"214" 214 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.378504672897196 0.00224892899366544 0.468459314771658
"215" 215 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.376744186046512 0.00224892899366544 0.468459314771658
"216" 216 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.375 0.00224892899366544 0.468459314771658
"217" 217 -79.5512865311219 -5.45693515351946 -74.0943513776024 0.373271889400922 0.00224892899366544 0.468459314771658
"218" 218 -81.8729453872288 -5.57758895823914 -76.2953564289896 0.376146788990826 0.00220997986831713 0.486226228425359
"219" 219 -81.8729453872288 -5.57758895823914 -76.2953564289896 0.374429223744292 0.00220997986831713 0.486226228425359
"220" 220 -79.7067636551686 -5.56716380707137 -74.1395998480972 0.377272727272727 0.00226216394796561 0.484696934555173
"221" 221 -79.7067636551686 -5.56716380707137 -74.1395998480972 0.375565610859729 0.00226216394796561 0.484696934555173
"222" 222 -79.7067636551686 -5.56716380707137 -74.1395998480972 0.373873873873874 0.00226216394796561 0.484696934555173
"223" 223 -79.9420828542635 -5.48377480258648 -74.458308051677 0.376681614349776 0.00222787007278495 0.472425355106953
"224" 224 -79.9420828542635 -5.48377480258648 -74.458308051677 0.375 0.00222787007278495 0.472425355106953
"225" 225 -79.9420828542635 -5.48377480258648 -74.458308051677 0.373333333333333 0.00222787007278495 0.472425355106953
"226" 226 -79.9420828542635 -5.48377480258648 -74.458308051677 0.371681415929204 0.00222787007278495 0.472425355106953
"227" 227 -79.9420828542635 -5.48377480258648 -74.458308051677 0.370044052863436 0.00222787007278495 0.472425355106953
"228" 228 -79.9420828542635 -5.48377480258648 -74.458308051677 0.368421052631579 0.00222787007278495 0.472425355106953
"229" 229 -79.9420828542635 -5.48377480258648 -74.458308051677 0.366812227074236 0.00222787007278495 0.472425355106953
"230" 230 -79.9420828542635 -5.48377480258648 -74.458308051677 0.365217391304348 0.00222787007278495 0.472425355106953
"231" 231 -79.9420828542635 -5.48377480258648 -74.458308051677 0.363636363636364 0.00222787007278495 0.472425355106953
"232" 232 -79.9420828542635 -5.48377480258648 -74.458308051677 0.362068965517241 0.00222787007278495 0.472425355106953
"233" 233 -79.9420828542635 -5.48377480258648 -74.458308051677 0.360515021459227 0.00222787007278495 0.472425355106953
"234" 234 -79.9420828542635 -5.48377480258648 -74.458308051677 0.358974358974359 0.00222787007278495 0.472425355106953
"235" 235 -79.9420828542635 -5.48377480258648 -74.458308051677 0.357446808510638 0.00222787007278495 0.472425355106953
"236" 236 -79.610917508416 -5.49138794788773 -74.1195295605282 0.360169491525424 0.00227187078368509 0.473548799307965
"237" 237 -79.610917508416 -5.49138794788773 -74.1195295605282 0.358649789029536 0.00227187078368509 0.473548799307965
"238" 238 -79.610917508416 -5.49138794788773 -74.1195295605282 0.357142857142857 0.00227187078368509 0.473548799307965
"239" 239 -79.610917508416 -5.49138794788773 -74.1195295605282 0.355648535564854 0.00227187078368509 0.473548799307965
"240" 240 -79.610917508416 -5.49138794788773 -74.1195295605282 0.354166666666667 0.00227187078368509 0.473548799307965
"241" 241 -79.610917508416 -5.49138794788773 -74.1195295605282 0.352697095435685 0.00227187078368509 0.473548799307965
"242" 242 -79.610917508416 -5.49138794788773 -74.1195295605282 0.351239669421488 0.00227187078368509 0.473548799307965
"243" 243 -79.610917508416 -5.49138794788773 -74.1195295605282 0.349794238683128 0.00227187078368509 0.473548799307965
"244" 244 -79.610917508416 -5.49138794788773 -74.1195295605282 0.348360655737705 0.00227187078368509 0.473548799307965
"245" 245 -80.0245549284553 -5.59247439229544 -74.4320805361599 0.351020408163265 0.0022599593928897 0.488408100205275
